label,total_pkts,out_pkts,in_pkts,out_bytes,in_bytes,bigram_OO,bigram_OI,bigram_IO,bigram_II,pkt_1,pkt_2,pkt_3,pkt_4,pkt_5,pkt_6,pkt_7,pkt_8,pkt_9,pkt_10,pkt_11,pkt_12,pkt_13,pkt_14,pkt_15,pkt_16,pkt_17,pkt_18,pkt_19,pkt_20,pkt_21,pkt_22,pkt_23,pkt_24,pkt_25,pkt_26,pkt_27,pkt_28,pkt_29,pkt_30,pkt_31,pkt_32,pkt_33,pkt_34,pkt_35,pkt_36,pkt_37,pkt_38,pkt_39,pkt_40,pkt_41,pkt_42,pkt_43,pkt_44,pkt_45,pkt_46,pkt_47,pkt_48,pkt_49,pkt_50
flipkart.com,314,134,180,44483,88974,74,59,59,121,66,66,66,66,-66,-66,-66,-66,54,54,54,54,1954,1954,1954,1954,-54,-54,-2470,-951,54,118,146,307,1314,1314,1314,-887,66,-54,-54,-54,-54,-951,-2470,66,54,118,146,307,-54,-950,66,-1262,-1262,-887,66,54,66,-54
flipkart.com,418,187,231,60163,94191,112,74,74,157,66,66,66,66,-66,-66,54,54,1954,-66,54,1954,1954,-66,54,1954,-66,-54,-1262,1314,1314,1314,-1262,54,-951,-54,-54,-54,118,146,307,-1262,-950,66,-1262,-54,54,118,146,307,-1262,-951,66,-1262,54,-54,-54,118,146,307
flipkart.com,465,210,255,68906,107218,135,74,74,181,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-54,-54,-1262,-1262,54,1314,1314,1314,-951,-54,-54,-950,-1262,66,66,-1262,54,-54,118,146,307,118,146,307,-54,-1262,463,1314,463,54,-1262,-54,-54,-952
indiamart.com,416,162,254,62007,125776,96,66,65,188,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-54,-54,-2470,54,-951,118,146,307,-54,1314,-54,1314,-54,-1262,-1262,-950,-54,-951,-2470,-54,-54,-582,-951,-1262,-1262,-85,-219,-553,66,54,66,66,54,54
indiamart.com,448,168,280,60478,136275,98,69,69,211,66,66,66,66,-66,-66,-66,-66,54,54,54,54,1954,1954,1954,1954,-54,-66,-54,-54,-2470,-118,-888,54,-1262,-118,-1262,-886,66,54,54,118,-54,118,146,307,146,307,-54,-54,-1262,-1262,-118,-888,54,118,146,307,-54,-118
indiamart.com,561,228,333,78145,151839,126,102,102,230,-640,-640,66,66,66,66,-66,-66,-66,-66,54,54,54,54,1954,1954,1954,1954,-54,-54,-1262,-1262,-118,54,-887,54,-54,-54,-54,118,146,307,1314,-2470,54,-118,-887,-54,-118,66,54,118,146,307,-888,66,-1262,66,-1262,-54
indiamart.com,449,172,277,60349,138879,94,77,77,200,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-66,-54,-1262,-1262,54,-951,118,146,307,-54,-54,-951,-2470,-54,66,54,-54,-54,118,146,307,-952,-1262,-1262,66,66,54,118,146,307,-54,-1262,-118,-1262
indiamart.com,467,177,290,60760,142298,96,81,80,209,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-54,-54,-1262,-1262,-950,54,118,146,307,-66,-54,-1262,-1262,-952,-54,-54,54,118,146,307,-1262,-1262,-952,-54,-54,-951,-1262,-1262,-66,-54,-591,-888,66,66
indiamart.com,499,226,273,71410,103706,121,105,104,168,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-66,1314,-54,-952,66,-1262,66,-1262,-66,54,-66,-54,-1262,-951,66,118,146,307,-1262,-54,54,-118,66,118,146,307,-887,-1262,66,66,-1262,54,118,146
indiamart.com,507,250,257,90859,118503,125,124,124,133,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-66,-54,-1262,-1262,54,-950,-66,-54,118,146,307,1314,1314,-950,66,-1262,66,-1262,-54,-54,54,118,146,307,-1262,-951,66,-1262,54,-54,118,146,307,-54
indiamart.com,548,220,328,79521,148710,135,84,84,244,66,66,66,66,-66,54,1954,-66,54,1954,-66,54,1954,-66,54,1954,-66,-54,-950,-2470,66,54,118,146,307,-54,-54,-951,-2470,66,54,118,146,307,-54,-54,-951,-1262,-1262,66,66,54,118,146,307,-54,-54,-591,-54,-950
indiamart.com,525,212,313,67964,147527,98,113,113,200,66,66,66,66,-66,-66,-66,-66,54,54,54,54,1954,1954,1954,1954,-54,-54,-951,66,-1262,66,-1262,54,-54,-54,-54,-54,-54,-951,66,118,146,307,-1262,66,-1262,54,-54,-1262,118,146,307,-1262,54,-952,118,146,307,-1262
indiamart.com,431,173,258,63387,125329,98,74,74,184,66,66,66,66,-66,-66,-66,-66,54,54,54,54,1954,1954,1954,1954,-54,-54,-54,-54,-2470,-118,-118,-888,-887,-1262,66,66,66,54,-1262,54,-54,118,118,146,307,146,307,-54,-54,-118,-2470,-886,66,54,118,146,307,-54
indiatimes.com,2088,645,1443,350384,771975,353,292,291,1151,66,66,66,66,-66,54,1954,-66,54,1954,-66,54,1954,-66,54,1954,-54,-54,-950,66,-2470,54,-54,118,-54,146,307,-2470,-950,54,118,146,307,-54,-54,-951,-2470,66,54,118,146,307,-54,-54,-950,-2470,66,54,118,146
indiatimes.com,1995,555,1440,293408,775176,342,212,212,1228,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-54,-54,-951,-2470,66,54,-66,-54,-1262,-951,66,-1262,-54,54,118,118,-54,-54,-54,-2470,-950,54,146,307,146,307,-1262,-952,-1262,66,54,118,118,146
indiatimes.com,2185,639,1546,317358,832696,386,252,252,1294,66,66,66,66,-66,-66,-66,-66,54,54,54,54,1954,1954,1954,1954,-66,-54,-54,-1262,-1262,54,-952,-54,-54,-54,-1262,118,146,307,-1262,-118,54,-888,54,118,-54,146,307,-54,-118,66,-887,66,-1262,66,-1262,54,-118,66
indiatimes.com,1892,524,1368,283543,770471,308,215,215,1153,66,66,66,66,-66,54,1954,-66,-66,54,54,1954,-66,54,1954,1954,-54,-54,-1262,-952,-1262,66,54,-54,-54,-54,-54,-54,-952,-1262,66,66,-1262,-2470,54,54,-951,-54,-951,-2470,66,54,118,118,118,118,146,307,146,307
indiatimes.com,1780,472,1308,258825,721898,270,201,201,1107,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-66,-54,-66,-54,-54,-1262,-118,-887,-1262,-118,-1262,-1262,-886,-54,-54,-2470,-118,-888,-54,66,66,54,66,66,54,54,-118,-2470,66,54,-887,118,118,118
indiatimes.com,1987,579,1408,287682,774461,314,264,264,1144,66,66,66,66,-66,-66,-66,54,54,54,-66,54,1954,1954,1954,1954,-54,-54,-54,-54,-1262,-1262,54,-951,-54,-54,-54,-1262,-951,-1262,-54,66,54,-2470,-951,-950,-2470,66,54,54,118,118,118,118,146,307,146,307,146,307
indiatimes.com,1889,536,1353,278766,760632,312,223,223,1130,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-66,-54,-1262,-1262,54,-951,-54,-54,-54,-118,-887,66,66,-1262,-1262,-54,-54,-952,-1262,66,54,66,66,-1262,54,-54,-1262,118,-950,66,118,118,146,307
